Category,Total PAEZBA [tonnes CO2eq.],Total PAEEAA [tonnes CO2eq.],Average PAEZBA [kg CO2eq.],Average PAEEAA [kg CO2eq.],Fold difference PAE approaches
Cars,209586.3625550596,168719.94088694215,9241.428747081423,7439.478852107331,1.2422145328719723
Boats,17247.92906762111,7526.3690476892125,4543.711556275318,1982.7104972837758,2.2916666666666665
Caravans & campers,13488.490122856914,6746.743855448994,5250.482725907713,2626.214034818604,1.9992592592592593
Trucks & construction,9435.890327635745,7676.059985079061,6216.001533356881,5056.69300729846,1.2292621925802418
Furniture & home decor,7698.862291146103,5722.683735129991,145.17663802579818,107.91204644698367,1.3453237410071943
Car parts & car accessories,6147.834198877354,4657.508423422256,249.63796641399088,189.12203773997058,1.319983484723369
Motorcycles,5782.963221868127,1906.8630654542053,1275.4660833410073,420.5697100692998,3.032710280373832
Snowmobiles,4226.868726340773,2503.534553258916,2618.877773445336,1551.136650098461,1.688360450563204
Bicycles,2262.2597264221195,902.9620367264253,421.90595420032065,168.4002306464799,2.505376344086022
Construction & garden,1721.220776187049,751.932625774547,114.13174034792448,49.859599878956764,2.2890625
Forestry & agricultural machinery,1668.2664813984195,788.4232921531834,853.7699495385975,403.4919611838195,2.115952811138272
Sports & leisure equipment,1601.0010038375003,1109.3308299142755,189.8945562611197,131.57761000050712,1.4432132963988922
Mopeds & doodlebug tractors,1491.0141495807106,549.9775728173302,538.4666484581836,198.61956403659448,2.7110453648915187
Audio & video,1291.5811829074767,784.6008047149156,178.12455977209717,108.2058757019605,1.6461634695579648
Music equipment,883.9814042127047,285.25998219245275,205.1953120270902,66.21633755627965,3.098862298940761
Fixtures & machines,879.2560207999061,489.0536447052732,316.8490165044707,176.2355476415399,1.797872340425532
Boat parts & accessories,873.1118388483002,542.6558847018767,366.5456922117129,227.81523287232443,1.6089604175728578
Accessories & watches,672.0540524172463,242.21237422144412,159.93670928539896,57.64216426021993,2.7746478873239435
Housewares & appliances,661.4939957273932,549.8257112895651,101.95653448326036,84.745023318367,1.2030976037405026
Children's articles & toys,629.7697779394433,165.40301752061222,41.81738233329637,10.982936090346097,3.8074866310160425
Computers & video games,614.1068994216475,320.7738657995971,102.84824977753266,53.72196714111491,1.9144542772861357
Phones & accessories,463.3363371875498,227.04507875487474,153.88121460895044,75.40520715870964,2.0407239819004523
Horses & equestrian,447.84848629450767,149.28282876483595,187.22762804954334,62.409209349847806,2.9999999999999987
Clothes & shoes,431.48453656787956,98.4939686349443,27.329904773744587,6.23853361001674,4.380821917808222
Hunting & fishing,277.90412947711343,121.56351406931114,160.63822513127943,70.2679272076943,2.286081737639326
Motorcycle parts & accessories,275.81002077760525,221.58989761867366,146.31831340987014,117.55432234412396,1.2446868008948544
Tools,270.08158144143954,90.02719381381323,97.92660675904261,32.64220225301422,2.9999999999999982
Hobby & collectibles,170.03131114911167,58.828478774083514,54.79578187209529,18.958581622327912,2.8902891030392888
Snowmobile parts & accessories,111.92707800248346,74.59731324345618,303.32541464087655,202.16074049717122,1.5004170141784818
Other,107.73324966596438,35.91108322198814,141.5680021891779,47.18933406305932,2.9999999999999987
Children's clothing & shoes,67.54816917175556,30.676897789792918,8.054873500090098,3.658108489123887,2.201923076923077
Books & student literature,56.802626180997834,39.96164655949596,18.575090314256975,13.067902733648122,1.4214285714285715
