Category,count,mean,std,min,25%,50%,75%,max
Accessories & watches,4202.0,6303.588529271776,13277.157454812303,130.0,600.0,1500.0,5000.0,98000.0
Audio & video,7251.0,3075.816577023859,3398.623985614289,159.0,800.0,1900.0,4000.0,19950.0
Bicycles,5362.0,4169.301007086908,5659.124212300617,215.0,800.0,1800.0,5000.0,29995.0
Boat parts & accessories,2382.0,7081.945424013434,8893.870448055179,150.0,1500.0,4000.0,8500.0,49900.0
Boats,3796.0,124434.5313487882,165223.86441222535,3700.0,22500.0,65000.0,150000.0,949000.0
Books & student literature,3058.0,293.73283191628514,302.62700139024815,25.0,100.0,200.0,350.0,1900.0
Car parts & car accessories,24627.0,3089.231493888821,2658.3153584560628,210.0,1000.0,2300.0,4000.0,14999.0
Caravans & campers,2569.0,133964.291163877,160890.3578755257,550.0,10000.0,69000.0,200000.0,719000.0
Cars,22679.0,70289.95811102782,67399.11096939925,4058.0,19500.0,45500.0,99000.0,328000.0
Children's articles & toys,15060.0,1044.5057768924303,1222.5781259651314,55.0,300.0,500.0,1200.0,6400.0
Children's clothing & shoes,8386.0,254.5330312425471,166.98574823420947,45.0,125.0,200.0,350.0,899.0
Clothes & shoes,15788.0,1221.00012667849,1245.9053830347611,105.0,400.0,700.0,1500.0,6495.0
Computers & video games,5971.0,3084.468095796349,3243.5327976078534,120.0,700.0,1900.0,4200.0,15000.0
Construction & garden,15081.0,2482.2736555931306,3256.302388884209,55.0,500.0,1100.0,3000.0,19995.0
Fixtures & machines,2775.0,7495.401801801801,11283.78964939684,100.0,1000.0,3000.0,9000.0,70000.0
Forestry & agricultural machinery,1954.0,21028.954452405324,27417.941086651714,539.0,3500.0,10000.0,27000.0,162000.0
Furniture & home decor,53031.0,1439.2069921366747,1567.9284195070438,109.0,400.0,800.0,1900.0,8499.0
Hobby & collectibles,3103.0,2550.9126651627457,3646.1164548372244,59.0,450.0,1000.0,3000.0,24500.0
Horses & equestrian,2392.0,6371.7307692307695,12211.539769731215,13.0,350.0,1000.0,5000.0,69000.0
Housewares & appliances,6488.0,1378.4967632552405,1554.1438321515318,70.0,399.0,800.0,1800.0,8995.0
Hunting & fishing,1730.0,4510.6225433526015,5821.153006522385,109.0,796.25,2000.0,5500.0,30000.0
Mopeds & doodlebug tractors,2769.0,17348.67497291441,16156.838713622745,550.0,7000.0,12500.0,22000.0,89000.0
Motorcycle parts & accessories,1885.0,1755.3458885941645,1677.8207871144564,120.0,500.0,1200.0,2300.0,9999.0
Motorcycles,4534.0,43640.95302161447,30316.102044339485,5200.0,20600.0,35000.0,59000.0,149000.0
Music equipment,4308.0,5367.548746518106,5581.6693133717945,275.0,1500.0,3500.0,7396.25,28000.0
Other,761.0,3787.325886990802,6487.135938996989,45.0,200.0,800.0,4000.0,35000.0
Phones & accessories,3011.0,3452.2646961142477,2614.932181459707,160.0,1200.0,2800.0,5500.0,9999.0
Snowmobile parts & accessories,369.0,3061.8672086720867,4024.161021287956,125.0,750.0,1800.0,3500.0,23500.0
Snowmobiles,1614.0,54506.302354399006,31406.424517996624,5500.0,27000.0,52000.0,78000.0,124000.0
Sports & leisure equipment,8431.0,1429.7110663029296,1687.920196027137,90.0,400.0,800.0,1800.0,9999.0
Tools,2758.0,2923.3382886149384,3318.136826887976,129.0,700.0,1600.0,4000.0,19900.0
Trucks & construction,1518.0,54914.25955204216,83129.829872194,750.0,5000.0,19700.0,65000.0,490000.0
